Sr_No,Contact,Paper,Link,Google_Scholar_Link,Year,Author_Names,Citation
1,Vasileios Charisopoulos,Nonlinear tomographic reconstruction via nonsmooth optimization,https://epubs.siam.org/doi/10.1137/24M1678982,https://scholar.google.com/citations?user=X3V6rM8AAAAJ&hl=el,2025,"Charisopoulos, V., & Willett, R.","Charisopoulos, V., & Willett, R. (2025). Nonlinear tomographic reconstruction via nonsmooth optimization. SIAM Journal on Mathematics of Data Science, 7(2), 699–722."
2,Vasileios Charisopoulos,Solving Inverse Problems with Deep Linear Neural Networks: Global Convergence Guarantees for Gradient Descent with Weight Decay,https://arxiv.org/abs/2502.15522,https://scholar.google.com/citations?user=X3V6rM8AAAAJ&hl=el,2025,"Laus, H., Parkinson, S., Charisopoulos, V., Krahmer, F., & Willett, R.","Laus, H., Parkinson, S., Charisopoulos, V., Krahmer, F., & Willett, R. (2025). Solving inverse problems with deep linear neural networks: Global convergence guarantees for gradient descent with weight decay (arXiv preprint arXiv:2502.15522)."
3,David Reber,RATE: Causal Explainability of Reward Models with Imperfect Counterfactuals,https://openreview.net/forum?id=rL3uxe5a0c,https://scholar.google.com/citations?hl=en&user=8MXWn9gAAAAJ&view_op=list_works&sortby=pubdate,2025,"Reber, D., Richardson, S. M., Nief, T., Garbacea, C., & Veitch, V.","Reber, D., Richardson, S. M., Nief, T., Garbacea, C., & Veitch, V. (2025). RATE: Causal explainability of reward models with imperfect counterfactuals. In Proceedings of the Forty-second International Conference on Machine Learning."
4,Yibo Jiang,The geometry of categorical and hierarchical concepts in large language models,https://openreview.net/forum?id=bVTM2QKYuA,https://scholar.google.com/citations?user=hvQo2gQAAAAJ&hl=en,2025,"Park, K., Choe, Y. J., Jiang, Y., & Veitch, V.","Park, K., Choe, Y. J., Jiang, Y., & Veitch, V. (2025). The geometry of categorical and hierarchical concepts in large language models. In Proceedings of the International Conference on Learning Representations (ICLR) (oral presentation)."
5,Yibo Jiang,On the origins of linear representations in large language models,https://proceedings.mlr.press/v235/jiang24d.html,https://scholar.google.com/citations?user=hvQo2gQAAAAJ&hl=en,2024,"Jiang, Y., Rajendran, G., Ravikumar, P. K., Aragam, B., & Veitch, V.","Jiang, Y., Rajendran, G., Ravikumar, P. K., Aragam, B., & Veitch, V. (2024). On the origins of linear representations in large language models. In Proceedings of the 41st International Conference on Machine Learning (pp. 21879–21911). PMLR."
6,Yibo Jiang,Beyond reverse KL: Generalizing direct preference optimization with diverse divergence constraints,https://openreview.net/forum?id=2cRzmWXK9N,https://scholar.google.com/citations?user=hvQo2gQAAAAJ&hl=en,2024,"Wang, C., Jiang, Y., Yang, C., Liu, H., & Chen, Y.","Wang, C., Jiang, Y., Yang, C., Liu, H., & Chen, Y. (2024). Beyond reverse KL: Generalizing direct preference optimization with diverse divergence constraints. In Proceedings of the International Conference on Learning Representations (ICLR) (Spotlight presentation)."
7,Yibo Jiang,Learning nonparametric latent causal graphs with unknown interventions,https://proceedings.neurips.cc/paper_files/paper/2023/file/bdeab378efe6eb289714e2a5abc6ed42-Paper-Conference.pdf,https://scholar.google.com/citations?user=hvQo2gQAAAAJ&hl=en,2023,"Jiang, Y., & Aragam, B.","Jiang, Y., & Aragam, B. (2023). Learning nonparametric latent causal graphs with unknown interventions. In Advances in Neural Information Processing Systems, 36 (NeurIPS 2023)."
8,Yibo Jiang,Uncovering meanings of embeddings via partial orthogonality,https://proceedings.neurips.cc/paper_files/paper/2023/file/65a925049647eab0aa06a9faf1cd470b-Paper-Conference.pdf,https://scholar.google.com/citations?user=hvQo2gQAAAAJ&hl=en,2023,"Jiang, Y., Aragam, B., & Veitch, V.","Jiang, Y., Aragam, B., & Veitch, V. (2023). Uncovering meanings of embeddings via partial orthogonality. In Advances in Neural Information Processing Systems (NeurIPS 2023), 36 (pp. ...)."
9,Chacha Chen,CLEAR: A Clinically-Grounded Tabular Framework for Radiology Report Evaluation,https://arxiv.org/abs/2505.16325,https://scholar.google.com/citations?hl=zh-TW&user=X1c-e4oAAAAJ&view_op=list_works&sortby=pubdate,2025,"Jiang, Y., Chen, C., Wang, S., Li, F., Tang, Z., Mervak, B. M., Chelala, L., Straus, C. M., Chahine, R., Armato, S. G. III, & Tan, C.","Jiang, Y., Chen, C., Wang, S., Li, F., Tang, Z., Mervak, B. M., Chelala, L., Straus, C. M., Chahine, R., Armato, S. G. III, & Tan, C. (2025). CLEAR: A clinically-grounded tabular framework for radiology report evaluation (arXiv:2505.16325). arXiv."
10,Chacha Chen,Gpt-4v cannot generate radiology reports yet,https://arxiv.org/abs/2407.12176,https://scholar.google.com/citations?hl=zh-TW&user=X1c-e4oAAAAJ&view_op=list_works&sortby=pubdate,2024,"Jiang, Y., Chen, C., Nguyen, D., Mervak, B. M., & Tan, C.","Jiang, Y., Chen, C., Nguyen, D., Mervak, B. M., & Tan, C. (2024). Gpt-4v cannot generate radiology reports yet (arXiv:2407.12176). arXiv."
